customer_id,customer_name,customer_segment,customer_ltv,risk_tier,default_payment_method,created_at
cust_3af15789a9c1437e,Aryan Maharaj,new,1499,low,upi,2026-07-14T15:38:38.788527
cust_e38435b265ac4c12,Udant Dewan,standard,0,low,card,2026-07-17T09:22:14.788527
cust_595c59e965814558,Gagan Sami,new,4494,low,upi,2026-08-13T19:22:22.788527
cust_ed680780abce4c8b,Ayushman Chander,standard,2498,low,wallet,2026-08-21T21:47:13.788527
cust_87be90a2f9f24991,Viraj Tiwari,standard,3496,low,card,2026-07-25T05:53:15.788527
cust_e36f4ff2aaeb4ed2,Rushil Saini,standard,19999,low,upi,2026-07-19T08:15:25.788527
cust_b60bd69212d54c0f,Saumya Mall,high_value,4999,low,card,2026-07-24T17:56:28.788527
cust_f81c174802634e2b,Nathaniel Sami,new,25495,medium,netbanking,2026-08-09T17:31:07.788527
cust_3d5adbdf1e624f5d,Arunima Dugal,standard,0,low,wallet,2026-07-08T01:28:14.788527
cust_9439d2d3c2d04c83,Gayathri Chaudry,standard,2498,medium,netbanking,2026-07-11T11:50:29.788527
cust_79c2a6caef3444a2,Lajita Chatterjee,standard,999,low,upi,2026-07-22T12:17:19.788527
cust_17d5cf7732f74583,Hemangini Lalla,high_value,38992,medium,card,2026-07-31T22:32:48.788527
cust_6b895fdba5f3413c,Tripti Yadav,standard,2499,low,netbanking,2026-08-09T17:58:55.788527
cust_c90bac92129b4d26,Kritika Brar,standard,10497,low,netbanking,2026-07-19T15:14:07.788527
cust_4fcee444813e4f00,Janaki Handa,standard,12996,low,upi,2026-07-10T18:36:13.788527
cust_e1f063bc7ce1418e,Chakradev Kari,standard,19996,low,upi,2026-07-19T16:58:45.788527
cust_5af36493f4bd47eb,Fariq Kaul,high_value,19999,medium,upi,2026-08-04T07:51:26.788527
cust_21822ad9691942ac,Lajita Mall,high_value,11498,low,card,2026-07-06T23:01:22.788527
cust_cff3af5eb2dc438a,Janya Gaba,high_value,12497,low,netbanking,2026-07-24T07:50:58.788527
cust_3156f977586f4925,Isha Kadakia,standard,1499,low,wallet,2026-07-24T11:40:46.788527
cust_fb7a8984133545b5,Ekbal Garg,standard,3498,low,netbanking,2026-07-17T17:08:19.788527
cust_d06f46d540b54ac3,Nihal Shere,high_value,9998,low,upi,2026-08-14T10:32:49.788527
cust_cf371e95411c46aa,Anamika Kanda,standard,5497,low,card,2026-07-17T06:33:36.788527
cust_e8aee4faf3904724,Daksh Karnik,new,5497,low,wallet,2026-07-14T11:43:29.788527
cust_31b3b9475ad64150,Diya Rattan,standard,999,low,wallet,2026-07-10T00:15:15.788527
cust_bd55c64489c24550,Dominic Kakar,standard,21498,low,card,2026-08-24T05:08:58.788527
cust_0e03bed9d89645d0,Simon Tata,standard,25493,low,netbanking,2026-07-14T23:08:55.788527
cust_fb4e9a92aeb542ff,Tara Dhar,new,0,low,wallet,2026-08-05T20:53:24.788527
cust_2416493153d543d9,Liam Koshy,high_value,24496,medium,netbanking,2026-07-04T03:47:09.788527
cust_4a98abc09c464fbc,Priya Rastogi,standard,26494,low,card,2026-08-21T10:40:26.788527
cust_af99e9041ec444f5,Theodore Devi,high_value,12493,low,upi,2026-08-01T19:39:02.788527
cust_0dff22823a3f4259,Gavin Batta,standard,1498,low,card,2026-07-18T16:21:54.788527
cust_2d0bc3dc82554e21,Michael Dutta,standard,1498,low,netbanking,2026-08-04T07:33:44.788527
cust_3436a29073f646a0,Devansh Rajan,standard,20997,low,card,2026-08-02T16:47:01.788527
cust_2de6ccca9a154c19,Upadhriti Wadhwa,standard,1499,medium,upi,2026-07-12T03:48:39.788527
cust_ea576ff1540448d8,Advay Contractor,standard,4496,high,upi,2026-07-16T07:23:51.788527
cust_9d2630da49044414,Harini Choudhury,standard,21498,low,upi,2026-07-29T13:51:02.788527
cust_a6be107d98f843c8,Radhika Dugar,standard,0,low,netbanking,2026-08-25T04:52:29.788527
cust_0decee9389ad40e6,Aarush Lall,high_value,19996,low,wallet,2026-08-11T13:56:35.788527
cust_996d47dc3a1a4c1a,Yashica Cherian,standard,4497,low,card,2026-08-23T02:15:46.788527
cust_ea0115a30b1748f1,Yashica Issac,new,42493,low,upi,2026-08-05T16:01:13.788527
cust_bdae09b0e0e448b0,Kashvi Edwin,new,15495,low,upi,2026-07-04T12:58:47.788527
cust_f4fa33d4c771491c,Ekiya Suresh,high_value,22494,medium,card,2026-07-10T09:16:40.788527
cust_796de13166be4243,Isaac Patil,standard,3998,low,upi,2026-08-22T18:17:40.788527
cust_aedd6d2905524db1,Wriddhish Bhardwaj,new,2499,high,wallet,2026-08-25T04:43:48.788527
cust_51e06e8e8ca8476a,Farhan Chada,standard,29993,medium,upi,2026-07-27T10:26:54.788527
cust_621b40fa868d4c92,Ekapad Walia,new,1499,low,wallet,2026-07-13T00:01:08.788527
cust_1e5888323b8046b4,Kabir Soman,standard,0,medium,card,2026-08-12T18:09:41.788527
cust_d3dc77e430ac4d03,Alka Wable,standard,2499,low,card,2026-07-09T17:27:41.788527
cust_19c91de04f09402a,Siddharth Zacharia,new,2499,low,upi,2026-07-27T23:38:06.788527
cust_74da13a2ce4b4308,Devika Rastogi,new,0,low,card,2026-08-13T19:16:45.788527
cust_b91410d09db64d19,Raksha Varughese,high_value,0,medium,card,2026-08-15T20:47:36.788527
cust_5f0d0617f7694a61,Jai Kota,standard,4999,low,card,2026-07-08T18:06:11.788527
cust_e9380b4930274338,Devansh Nigam,high_value,14998,medium,upi,2026-07-12T21:32:30.788527
cust_783d980f78b2438c,Victor Kannan,standard,4497,low,wallet,2026-08-12T07:14:14.788527
cust_4fe4f79fd2d0458c,Ekavir Bhargava,new,998,low,wallet,2026-07-09T12:51:15.788527
cust_6f29981eaa6c4c8b,Ekansh Balay,high_value,0,medium,netbanking,2026-07-29T14:11:30.788527
cust_44f813952f2d440d,Ekavir Varkey,standard,0,medium,wallet,2026-08-13T21:54:09.788527
cust_34b982c2e8264313,Arya Sunder,new,499,low,card,2026-07-18T20:55:35.788527
cust_504b3cc5cc474e1d,Kevin Solanki,new,19996,low,card,2026-08-25T11:37:49.788527
cust_eee5150526e044ec,Urvashi Ray,standard,0,medium,upi,2026-08-19T03:13:17.788527
cust_3fc0d32b4b1547f3,Girindra Chatterjee,high_value,25994,low,upi,2026-07-09T08:45:46.788527
cust_826f3e6850d743de,Irya Sampath,standard,7994,low,upi,2026-07-10T11:53:24.788527
cust_4889ef6ccd83460e,Unni Bhagat,new,57491,medium,upi,2026-08-12T01:05:20.788527
cust_949fec18d86e47cf,Darsh Rau,standard,499,low,netbanking,2026-07-07T16:49:43.788527
cust_2f3315fc8a3c42a5,Ikbal Kothari,standard,5498,medium,upi,2026-07-29T03:51:07.788527
cust_50ef51410b964f89,Ranveer Yadav,standard,19998,low,netbanking,2026-07-29T15:09:02.788527
cust_59faf58c22924d8a,Logan Sami,standard,5494,medium,card,2026-08-17T05:38:03.788527
cust_4c6ee929a92f4cff,Arya Shere,standard,3998,high,card,2026-07-04T17:55:49.788527
